Old URL,New URL,Similarity,Redirect Type,Notes
https://www.acpm.fr/Marque/marque-le-journal-du-batiment,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-journal-du-batiment,86.0%,301,High confidence
https://www.acpm.fr/Support/la-gazette-de-l-hotel-drouot,https://sigp2-prod.acpm.fr/les-membres/support/la-gazette-de-l-hotel-drouot,86.0%,301,High confidence
https://www.acpm.fr/Marque/marque-le-republicain-lorrain,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-republicain-lorrain,86.0%,301,High confidence
https://www.acpm.fr/Marque/marque-radio-vinci-autoroutes,https://sigp2-prod.acpm.fr/les-membres/marque/marque-radio-vinci-autoroutes,86.0%,301,High confidence
https://www.acpm.fr/Marque/marque-le-journal-du-dimanche,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-journal-du-dimanche,86.0%,301,High confidence
https://www.acpm.fr/Marque/marque-laurent-frederic-bolle,https://sigp2-prod.acpm.fr/les-membres/marque/marque-laurent-frederic-bolle,86.0%,301,High confidence
https://www.acpm.fr/Marque/marque-centre-presse-poitiers,https://sigp2-prod.acpm.fr/les-membres/marque/marque-centre-presse-poitiers,86.0%,301,High confidence
https://www.acpm.fr/Support/dernieres-nouvelles-d-alsace,https://sigp2-prod.acpm.fr/les-membres/support/dernieres-nouvelles-d-alsace,86.0%,301,High confidence
https://www.acpm.fr/Marque/marque-l-opinion-independante,https://sigp2-prod.acpm.fr/les-membres/marque/marque-l-opinion-independante,86.0%,301,High confidence
https://www.acpm.fr/Marque/marque-l-activite-immobiliere,https://sigp2-prod.acpm.fr/les-membres/marque/marque-l-activite-immobiliere,86.0%,301,High confidence
https://www.acpm.fr/Support/l-union-l-ardennais-dimanche,https://sigp2-prod.acpm.fr/les-membres/support/l-union-l-ardennais-dimanche,86.0%,301,High confidence
https://www.acpm.fr/Support/le-journal-de-saone-et-loire,https://sigp2-prod.acpm.fr/les-membres/support/le-journal-de-saone-et-loire,86.0%,301,High confidence
https://www.acpm.fr/Marque/marque-courrier-international,https://sigp2-prod.acpm.fr/les-membres/marque/marque-courrier-international,86.0%,301,High confidence
https://www.acpm.fr/Marque/marque-village-de-la-justice,https://sigp2-prod.acpm.fr/les-membres/marque/marque-village-de-la-justice,85.7%,301,High confidence
https://www.acpm.fr/Marque/marque-le-journal-des-maires,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-journal-des-maires,85.7%,301,High confidence
https://www.acpm.fr/Marque/marque-le-batiment-artisanal,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-batiment-artisanal,85.7%,301,High confidence
https://www.acpm.fr/Support/tendance-ouest-edition-caen,https://sigp2-prod.acpm.fr/les-membres/support/tendance-ouest-edition-caen,85.7%,301,High confidence
https://www.acpm.fr/Marque/marque-l-eclair-des-pyrenees,https://sigp2-prod.acpm.fr/les-membres/marque/marque-l-eclair-des-pyrenees,85.7%,301,High confidence
https://www.acpm.fr/Marque/marque-le-reveil-du-vivarais,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-reveil-du-vivarais,85.7%,301,High confidence
https://www.acpm.fr/Marque/marque-diabetologie-pratique,https://sigp2-prod.acpm.fr/les-membres/marque/marque-diabetologie-pratique,85.7%,301,High confidence
https://www.acpm.fr/Marque/marque-centre-presse-aveyron,https://sigp2-prod.acpm.fr/les-membres/marque/marque-centre-presse-aveyron,85.7%,301,High confidence
https://www.acpm.fr/Support/le-courrier-picard-dimanche,https://sigp2-prod.acpm.fr/les-membres/support/le-courrier-picard-dimanche,85.7%,301,High confidence
https://www.acpm.fr/Support/le-dauphine-libere-dimanche,https://sigp2-prod.acpm.fr/les-membres/support/le-dauphine-libere-dimanche,85.7%,301,High confidence
https://www.acpm.fr/Support/le-peuple-libre-drome-hebdo,https://sigp2-prod.acpm.fr/les-membres/support/le-peuple-libre-drome-hebdo,85.7%,301,High confidence
https://www.acpm.fr/Marque/marque-le-journal-toulousain,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-journal-toulousain,85.7%,301,High confidence
https://www.acpm.fr/Marque/marque-rennes-info-autrement,https://sigp2-prod.acpm.fr/les-membres/marque/marque-rennes-info-autrement,85.7%,301,High confidence
https://www.acpm.fr/Marque/marque-les-cahiers-du-cinema,https://sigp2-prod.acpm.fr/les-membres/marque/marque-les-cahiers-du-cinema,85.7%,301,High confidence
https://www.acpm.fr/Support/cumul-l-independant-7-jours,https://sigp2-prod.acpm.fr/les-membres/support/cumul-l-independant-7-jours,85.7%,301,High confidence
https://www.acpm.fr/Marque/marque-connaissance-des-arts,https://sigp2-prod.acpm.fr/les-membres/marque/marque-connaissance-des-arts,85.7%,301,High confidence
https://www.acpm.fr/Support/l-observateur-de-l-avesnois,https://sigp2-prod.acpm.fr/les-membres/support/l-observateur-de-l-avesnois,85.7%,301,High confidence
https://www.acpm.fr/Support/notre-temps-sante-bien-etre,https://sigp2-prod.acpm.fr/les-membres/support/notre-temps-sante-bien-etre,85.7%,301,High confidence
https://www.acpm.fr/Support/l-echo-republicain-dimanche,https://sigp2-prod.acpm.fr/les-membres/support/l-echo-republicain-dimanche,85.7%,301,High confidence
https://www.acpm.fr/Marque/marque-le-monde-diplomatique,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-monde-diplomatique,85.7%,301,High confidence
https://www.acpm.fr/Marque/marque-le-petit-bleu-d-agen,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-petit-bleu-d-agen,85.4%,301,High confidence
https://www.acpm.fr/Support/le-quotidien-de-la-reunion,https://sigp2-prod.acpm.fr/les-membres/support/le-quotidien-de-la-reunion,85.4%,301,High confidence
https://www.acpm.fr/Marque/marque-argus-de-l-assurance,https://sigp2-prod.acpm.fr/les-membres/marque/marque-argus-de-l-assurance,85.4%,301,High confidence
https://www.acpm.fr/Marque/marque-le-berry-republicain,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-berry-republicain,85.4%,301,High confidence
https://www.acpm.fr/Support/le-moniteur-des-pharmacies,https://sigp2-prod.acpm.fr/les-membres/support/le-moniteur-des-pharmacies,85.4%,301,High confidence
https://www.acpm.fr/Marque/marque-le-nouveau-detective,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-nouveau-detective,85.4%,301,High confidence
https://www.acpm.fr/Marque/marque-le-journal-de-mickey,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-journal-de-mickey,85.4%,301,High confidence
https://www.acpm.fr/Support/france-football-supplement,https://sigp2-prod.acpm.fr/les-membres/support/france-football-supplement,85.4%,301,High confidence
https://www.acpm.fr/Marque/marque-gynecologie-pratique,https://sigp2-prod.acpm.fr/les-membres/marque/marque-gynecologie-pratique,85.4%,301,High confidence
https://www.acpm.fr/Support/l-observateur-du-cambresis,https://sigp2-prod.acpm.fr/les-membres/support/l-observateur-du-cambresis,85.4%,301,High confidence
https://www.acpm.fr/Marque/marque-cardiologie-pratique,https://sigp2-prod.acpm.fr/les-membres/marque/marque-cardiologie-pratique,85.4%,301,High confidence
https://www.acpm.fr/Support/la-republique-des-pyrenees,https://sigp2-prod.acpm.fr/les-membres/support/la-republique-des-pyrenees,85.4%,301,High confidence
https://www.acpm.fr/Marque/marque-la-depeche-du-bassin,https://sigp2-prod.acpm.fr/les-membres/marque/marque-la-depeche-du-bassin,85.4%,301,High confidence
https://www.acpm.fr/Marque/marque-l-yonne-republicaine,https://sigp2-prod.acpm.fr/les-membres/marque/marque-l-yonne-republicaine,85.4%,301,High confidence
https://www.acpm.fr/Marque/marque-liberation-champagne,https://sigp2-prod.acpm.fr/les-membres/marque/marque-liberation-champagne,85.4%,301,High confidence
https://www.acpm.fr/Marque/marque-le-journal-de-millau,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-journal-de-millau,85.4%,301,High confidence
https://www.acpm.fr/Support/couplage-merci-pour-l-info,https://sigp2-prod.acpm.fr/les-membres/support/couplage-merci-pour-l-info,85.4%,301,High confidence
https://www.acpm.fr/Marque/marque-le-recruteur-medical,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-recruteur-medical,85.4%,301,High confidence
https://www.acpm.fr/Marque/marque-le-cheminot-retraite,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-cheminot-retraite,85.4%,301,High confidence
https://www.acpm.fr/Marque/marque-le-chasseur-francais,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-chasseur-francais,85.4%,301,High confidence
https://www.acpm.fr/Marque/marque-depeche-veterinaire,https://sigp2-prod.acpm.fr/les-membres/marque/marque-depeche-veterinaire,85.0%,301,High confidence
https://www.acpm.fr/Marque/marque-le-reporter-sablais,https://sigp2-prod.acpm.fr/les-membres/marque/marque-le-reporter-sablais,85.0%,301,High confidence
https://www.acpm.fr/Marque/marque-beaux-arts-magazine,https://sigp2-prod.acpm.fr/les-membres/marque/marque-beaux-arts-magazine,85.0%,301,High confidence
https://www.acpm.fr/Marque/marque-national-geographic,https://sigp2-prod.acpm.fr/les-membres/marque/marque-national-geographic,85.0%,301,High confidence
https://www.acpm.fr/Marque/marque-paysan-du-haut-rhin,https://sigp2-prod.acpm.fr/les-membres/marque/marque-paysan-du-haut-rhin,85.0%,301,High confidence
https://www.acpm.fr/Marque/marque-madeinmarseille-net,https://sigp2-prod.acpm.fr/les-membres/marque/marque-madeinmarseille-net,85.0%,301,High confidence
https://www.acpm.fr/Marque/marque-l-union-l-ardennais,https://sigp2-prod.acpm.fr/les-membres/marque/marque-l-union-l-ardennais,85.0%,301,High confidence
https://www.acpm.fr/Support/lsa-commerce-consommation,https://sigp2-prod.acpm.fr/les-membres/support/lsa-commerce-consommation,85.0%,301,High confidence
https://www.acpm.fr/Marque/marque-telecable-sat-hebdo,https://sigp2-prod.acpm.fr/les-membres/marque/marque-telecable-sat-hebdo,85.0%,301,High confidence
https://www.acpm.fr/Support/l-eveil-de-la-haute-loire,https://sigp2-prod.acpm.fr/les-membres/support/l-eveil-de-la-haute-loire,85.0%,301,High confidence
https://www.acpm.fr/Support/groupe-radio-france-radio,https://sigp2-prod.acpm.fr/les-membres/support/groupe-radio-france-radio,85.0%,301,High confidence
https://www.acpm.fr/Marque/marque-sage-femme-pratique,https://sigp2-prod.acpm.fr/les-membres/marque/marque-sage-femme-pratique,85.0%,301,High confidence
https://www.acpm.fr/Support/l-observateur-du-douaisis,https://sigp2-prod.acpm.fr/les-membres/support/l-observateur-du-douaisis,85.0%,301,High confidence
https://www.acpm.fr/Support/l-officiel-des-spectacles,https://sigp2-prod.acpm.fr/les-membres/support/l-officiel-des-spectacles,85.0%,301,High confidence
https://www.acpm.fr/Support/l-observateur-de-beauvais,https://sigp2-prod.acpm.fr/les-membres/support/l-observateur-de-beauvais,85.0%,301,High confidence
